avgTemp,minTemp,maxTemp,rainfall,price
-2.6,-10.0,3.4,0.0,4609.0
-2.9,-8.2,1.4,0.0,4609.0
-6.6,-11.8,-0.8,0.0,4399.0
-3.6,-9.5,1.5,0.4,4423.0
-5.1,-9.2,-1.1,0.0,4495.0
-5.6,-11.6,1.4,0.0,4521.0
-2.7,-9.5,3.5,0.1,4521.0
-7.7,-13.0,-1.8,0.2,4521.0
-10.1,-14.8,-5.2,0.1,4521.0
-7.1,-13.2,-0.6,0.0,4832.0
-5.0,-10.6,0.5,0.0,4888.0
-4.2,-8.6,0.8,0.0,5083.0
-5.4,-9.3,-0.9,0.0,4551.0
-5.0,-9.6,0.8,0.0,4451.0
-3.2,-8.9,3.0,0.0,4451.0
-2.1,-6.6,2.7,1.4,4451.0
-4.7,-8.2,-1.4,0.3,5104.0
-6.0,-10.7,-0.3,0.0,5251.0
-5.9,-10.5,-0.4,0.0,5075.0
-5.8,-10.5,-0.5,0.0,5234.0
-4.5,-8.2,0.4,0.0,5234.0
-6.5,-10.5,-2.0,0.2,5234.0
-7.3,-11.8,-2.8,0.2,5234.0
-4.8,-11.9,1.3,0.0,5221.0
-0.2,-6.7,7.2,0.0,5134.0
1.5,-3.9,8.9,0.0,5134.0
1.0,-5.2,8.7,0.0,5134.0
1.9,-3.7,8.8,0.0,5134.0
1.4,-3.4,8.5,0.0,5134.0
2.5,-3.3,8.6,0.0,5134.0
2.0,-2.9,7.6,0.0,4859.0
2.6,-0.7,6.3,1.3,4843.0
0.8,-2.9,5.5,0.0,4815.0
-1.0,-4.6,3.1,0.3,4744.0
-0.8,-4.8,4.0,4.5,4727.0
-3.5,-7.2,0.7,1.9,4727.0
-3.7,-9.8,2.5,0.0,4727.0
-2.4,-5.5,0.9,3.4,4626.0
-1.3,-7.3,5.6,0.0,4651.0
0.8,-6.3,7.7,1.5,4893.0
1.6,-0.8,4.4,3.8,4893.0
1.3,-3.9,8.1,0.0,4834.0
2.3,-3.8,9.7,0.0,4834.0
4.1,-2.8,11.9,0.0,4834.0
4.2,-1.4,11.6,0.0,4841.0
4.0,-2.6,12.4,0.0,4847.0
4.8,-2.0,13.7,0.0,4699.0
7.4,-0.4,16.0,0.0,4791.0
4.8,-0.8,10.7,0.0,4770.0
5.5,-2.7,12.8,0.1,4770.0
6.1,4.1,8.6,43.0,4770.0
4.9,3.4,7.2,3.8,4710.0
2.5,-0.4,5.6,3.2,4710.0
0.0,-3.3,4.3,0.0,4763.0
-0.8,-5.4,4.1,0.0,4590.0
0.7,-4.6,6.8,0.0,4688.0
2.5,-3.8,9.0,0.0,4688.0
4.9,-0.6,10.8,0.0,4688.0
3.5,-0.1,7.6,0.0,4750.0
3.0,-2.9,9.0,0.0,4798.0
2.0,-2.0,6.7,0.0,4544.0
2.7,-3.5,8.6,0.0,4596.0
5.0,-1.5,12.0,0.0,4629.0
7.6,0.4,15.4,0.0,4629.0
9.8,2.4,18.1,0.0,4629.0
9.1,3.9,16.1,0.0,4693.0
4.1,-0.6,8.9,0.0,4761.0
1.3,-2.4,5.9,0.0,4743.0
2.1,-3.5,8.4,0.0,4846.0
5.8,-3.6,13.8,0.0,4824.0
10.5,4.3,16.4,0.0,4824.0
7.1,4.5,11.3,15.2,4824.0
7.9,4.1,13.1,0.6,4824.0
3.6,0.1,7.7,0.4,4824.0
2.8,-3.0,8.7,0.0,4824.0
4.8,-0.4,10.6,2.8,4776.0
3.1,-0.5,7.1,0.3,4662.0
3.2,-2.9,9.3,0.0,4662.0
5.5,-2.5,11.9,0.0,4662.0
6.2,1.0,11.9,0.4,4550.0
5.1,-1.2,11.2,0.0,4530.0
7.9,0.4,15.7,0.0,4486.0
9.7,1.6,19.0,0.0,4341.0
10.9,1.5,19.8,0.0,4341.0
8.9,4.7,14.0,0.1,4341.0
7.2,2.8,12.1,2.6,4341.0
7.8,1.1,15.3,0.0,4265.0
9.1,0.5,18.2,0.0,4073.0
11.0,1.3,18.9,0.7,4057.0
11.7,9.1,14.4,17.1,3783.0
11.7,7.1,17.4,3.3,3783.0
10.5,3.4,18.1,0.0,3783.0
12.3,4.5,19.9,0.5,3783.0
10.1,5.1,15.4,2.7,3905.0
10.2,1.4,18.3,0.0,3905.0
12.1,3.6,20.2,0.0,3961.0
13.2,4.3,21.2,0.0,3808.0
16.2,9.8,23.5,0.1,3708.0
11.5,6.1,18.8,0.1,3708.0
11.3,4.0,18.7,0.0,3708.0
7.9,5.1,11.8,2.7,3654.0
9.2,4.2,15.1,0.7,3329.0
10.8,2.8,18.5,0.0,3126.0
13.4,5.4,20.3,0.0,2406.0
10.7,8.7,13.9,26.8,2360.0
10.7,6.3,15.8,0.0,2360.0
10.4,5.0,16.0,0.4,2360.0
12.9,6.3,18.8,0.3,2304.0
12.4,9.8,15.3,11.9,2225.0
